date,pool,salinity,salinity2,pool_temp,total,unmarked,red,orange,pink,yellow,dead
21-04-02,8,NA,NA,NA,8,4,NA,NA,NA,4,NA
21-04-02,11,NA,NA,NA,2,1,1,NA,NA,NA,NA
21-04-02,12,NA,NA,NA,3,2,NA,1,NA,NA,NA
21-04-02,13,NA,NA,NA,1,NA,1,NA,NA,NA,NA
21-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21-04-05,1,2.05,NA,9.3,2,2,NA,NA,NA,NA,NA
21-04-05,2,0.37,NA,9.2,1,NA,NA,1,NA,NA,NA
21-04-05,3,0.28,NA,8.9,NA,NA,NA,NA,NA,NA,NA
21-04-05,4,4.78,NA,8.6,1,1,NA,NA,NA,NA,NA
21-04-05,5,1.13,NA,9.8,5,2,NA,3,NA,NA,NA
21-04-05,6,0.24,NA,7.3,8,4,1,2,NA,1,NA
21-04-05,7,6.81,NA,10,6,5,1,NA,NA,NA,NA
21-04-05,8,0.29,NA,9.2,1,1,NA,NA,NA,NA,NA
21-04-05,9,18.8,NA,9.3,2,2,NA,NA,NA,NA,NA
21-04-05,10,0.34,NA,8.3,NA,NA,NA,NA,NA,NA,NA
21-04-05,11,0.48,NA,10.1,1,NA,NA,1,NA,NA,NA
21-04-05,12,0.46,NA,8.7,3,1,NA,1,NA,1,NA
21-04-05,13,1.54,NA,8.8,1,NA,NA,NA,NA,1,NA
21-04-05,15,0.72,NA,8.8,2,NA,NA,1,NA,1,NA
21-04-05,0,NA,NA,NA,10,6,NA,3,NA,1,NA
21-04-07,1,1.42,NA,10.8,NA,NA,NA,NA,NA,NA,NA
21-04-07,2,1.64,NA,11.8,1,NA,1,NA,NA,NA,NA
21-04-07,5,11.5,NA,11.6,2,1,1,NA,NA,NA,NA
21-04-07,6,0.3,NA,10,5,NA,1,2,NA,2,NA
21-04-07,7,0.56,11.3,10.1,9,2,2,2,NA,3,NA
21-04-07,8,0.26,NA,11.6,NA,NA,NA,NA,NA,NA,NA
21-04-07,9,0.87,NA,11.1,1,NA,1,NA,NA,NA,NA
21-04-07,11,3.21,NA,13,NA,NA,NA,NA,NA,NA,NA
21-04-07,12,0.3,NA,10.8,5,1,2,2,NA,NA,NA
21-04-07,13,13.6,NA,11.6,NA,NA,NA,NA,NA,NA,NA
21-04-07,15,0.68,NA,11,NA,NA,NA,NA,NA,NA,NA
21-04-10,2,0.24,NA,12.7,1,NA,1,NA,NA,NA,NA
21-04-10,5,1.29,NA,13.9,6,1,1,2,NA,2,NA
21-04-10,6,0.14,NA,22.4,17,3,6,4,NA,4,NA
21-04-10,7,6.74,NA,14,7,4,2,1,NA,NA,NA
21-04-10,8,0.29,NA,14,3,2,1,NA,NA,NA,NA
21-04-10,11,5.78,NA,17.5,4,1,1,1,NA,1,NA
21-04-10,12,0.36,NA,13.6,11,5,2,3,NA,1,NA
21-04-10,13,1.65,NA,15.4,5,1,2,NA,NA,2,NA
21-04-10,15,0.9,NA,14.2,7,3,3,1,NA,NA,NA
21-04-10,0,NA,NA,NA,4,3,1,NA,NA,NA,NA
21-04-12,6,0.08,NA,12,2,1,NA,1,NA,NA,NA
21-04-12,7,0.25,NA,14,6,2,2,2,NA,NA,NA
21-04-12,11,0.69,NA,13.8,1,NA,NA,NA,NA,1,NA
21-04-12,13,3.45,NA,15.8,1,NA,1,NA,NA,NA,NA
21-04-12,15,0.45,NA,13.6,2,1,1,NA,NA,NA,NA
